Kode #Nama Barang,Kode #,Nama Barang
200728DUSTBIN STAINLESS BULAT,200728,DUSTBIN STAINLESS BULAT
200729BABY CHAIR,200729,BABY CHAIR
200730MUKENA,200730,MUKENA
200731SARUNG,200731,SARUNG
200732SAJADAH,200732,SAJADAH
200733RAK MUKENA,200733,RAK MUKENA
200734TANGGA 3 METER,200734,TANGGA 3 METER
200735STICK PENGGANTI LAMPU,200735,STICK PENGGANTI LAMPU
200736DISPENSER SABUN KRISBOW,200736,DISPENSER SABUN KRISBOW
200737RAK PENITIPAN BARANG CUSTOMER,200737,RAK PENITIPAN BARANG CUSTOMER
200738AMBRO FLATWARE BASKET,200738,AMBRO FLATWARE BASKET
200739NAMPAN KARET KOTAK (DIMSUM),200739,NAMPAN KARET KOTAK (DIMSUM)
200743APD (HAZMAT),200743,APD (HAZMAT)
200744APRON,200744,APRON
200745JAS LAB,200745,JAS LAB
200746MIKA/CUP DIPPING (V.20),200746,MIKA/CUP DIPPING (V.20)
410003PERALATAN RESTO - EXISTING STORE,410003,PERALATAN RESTO - EXISTING STORE
410004PLN - EXISTING STORE,410004,PLN - EXISTING STORE
410007SPARE PARTS IT COST - EXISTING STORE,410007,SPARE PARTS IT COST - EXISTING STORE
410008SPARE PARTS MESIN / PERALATAN - EXISTING STORE,410008,SPARE PARTS MESIN / PERALATAN - EXISTING STORE
410010MATERIAL BANGUNAN - EXISTING STORE,410010,MATERIAL BANGUNAN - EXISTING STORE
410011PERIZINAN - CP,410011,PERIZINAN - CP
410012PERIZINAN - HO,410012,PERIZINAN - HO
410013PERIZINAN - EXISTING STORE,410013,PERIZINAN - EXISTING STORE
410026BIAYA ONGKOS KIRIM - CP,410026,BIAYA ONGKOS KIRIM - CP
410027BIAYA ONGKOS KIRIM - DC,410027,BIAYA ONGKOS KIRIM - DC
410029BIAYA ONGKOS KIRIM - RESTO,410029,BIAYA ONGKOS KIRIM - RESTO
410030MATERIAL MESIN / PERALATAN - CP,410030,MATERIAL MESIN / PERALATAN - CP
410033SPARE PART MESIN / PERALATAN - DC,410033,SPARE PART MESIN / PERALATAN - DC
410034SPARE PART MESIN / PERALATAN - HO,410034,SPARE PART MESIN / PERALATAN - HO
410038OBAT / PENGOBATAN - HO,410038,OBAT / PENGOBATAN - HO
410039OBAT / PENGOBATAN - CP,410039,OBAT / PENGOBATAN - CP
410040OBAT / PENGOBATAN - DC,410040,OBAT / PENGOBATAN - DC
410041ATK - HO,410041,ATK - HO
410042ATK - CP,410042,ATK - CP
410043ATK - DC,410043,ATK - DC
410051BIAYA KEAMANAN - HO,410051,BIAYA KEAMANAN - HO
410057BIAYA INVENTARIS - CP,410057,BIAYA INVENTARIS - CP
410058BIAYA INVENTARIS - DC,410058,BIAYA INVENTARIS - DC
410059BIAYA INVENTARIS - HO,410059,BIAYA INVENTARIS - HO
410060BIAYA KEBERSIHAN - CP,410060,BIAYA KEBERSIHAN - CP
410061BIAYA KEBERSIHAN - DC,410061,BIAYA KEBERSIHAN - DC
410062BIAYA KEBERSIHAN - HO,410062,BIAYA KEBERSIHAN - HO
410063MATERIAL BANGUNAN - CP,410063,MATERIAL BANGUNAN - CP
410066BIAYA KEBERSIHAN - EXISTING STORE,410066,BIAYA KEBERSIHAN - EXISTING STORE
410068BIAYA KONSUMSI - HO,410068,BIAYA KONSUMSI - HO
410089BIAYA GAS CNG - CP,410089,BIAYA GAS CNG - CP
410093GALON - EXISTING STORE,410093,GALON - EXISTING STORE
410094BIAYA OPERASIONAL LEGAL - EXISTING STORE,410094,BIAYA OPERASIONAL LEGAL - EXISTING STORE
410096BIAYA INVENTARIS LAB - CP,410096,BIAYA INVENTARIS LAB - CP
410098SPARE PART KENDARAAN - CP,410098,SPARE PART KENDARAAN - CP
410099SPARE PART KENDARAAN - DC,410099,SPARE PART KENDARAAN - DC
410104GALON - CP,410104,GALON - CP
410105ES TUBE v.20 - EXISTING STORE,410105,ES TUBE v.20 - EXISTING STORE
410108JASA PEMELIHARAAN MESIN / PERALATAN - EXISTING STORE,410108,JASA PEMELIHARAAN MESIN / PERALATAN - EXISTING STORE
410111CUP - HO,410111,CUP - HO
410113BIAYA GAS CNG - EXISTING STORE,410113,BIAYA GAS CNG - EXISTING STORE
410116JASA INSTALASI MESIN / PERALATAN - EXISTING STORE,410116,JASA INSTALASI MESIN / PERALATAN - EXISTING STORE
410117JASA PEMBANGUNAN / RENOVASI - EXISTING STORE,410117,JASA PEMBANGUNAN / RENOVASI - EXISTING STORE
410118JASA LAND CLEARING OBSTACLE - EXISTING STORE,410118,JASA LAND CLEARING OBSTACLE - EXISTING STORE
410119JASA PEMELIHARAAN INVENTARIS - EXISTING STORE,410119,JASA PEMELIHARAAN INVENTARIS - EXISTING STORE
410120JASA INSTALASI MESIN / PERALATAN - CP,410120,JASA INSTALASI MESIN / PERALATAN - CP
410122JASA INSTALASI MESIN / PERALATAN - HO,410122,JASA INSTALASI MESIN / PERALATAN - HO
410124JASA PEMBANGUNAN / RENOVASI - CP,410124,JASA PEMBANGUNAN / RENOVASI - CP
410128JASA SERVIS KENDARAAN - DC,410128,JASA SERVIS KENDARAAN - DC
410129PEMBANGUNAN NEW CP,410129,PEMBANGUNAN NEW CP
410131BIAYA KONSUMSI - CP,410131,BIAYA KONSUMSI - CP
410135BIAYA PACKAGING - CP,410135,BIAYA PACKAGING - CP
410140BIAYA PENGEMBANGAN - CP,410140,BIAYA PENGEMBANGAN - CP
410141JASA LAINYA PRIBADI - RESTO,410141,JASA LAINYA PRIBADI - RESTO
